Classification,classID
"MOTOR, CLOSE COUPLED PUMP",0
"SIGN, TRAFFIC",1
"RAIL, LINEAR GUIDE",2
"SIGN, NO SMOKING",3
"ROPES/POSTS, PORTABLE ACCESS",4
"PLUG, ELECTRICAL",5
"GLOVE, CHEMICAL RESISTANT",6
"SENSOR, TEMPERATURE",7
"SCREW, THUMB",8
"SCREW, WOOD",9
"OPERATOR, NON ILLUMINATED PUSH BUTTON",10
GREASE,11
"JOINT, EXPANSION",12
"OPERATOR, ILLUMINATED PUSH BUTTON",13
"INSERT, PARTING",14
"FIXTURE, LIGHTING, DECORATIVE",15
"SEAL, MECHANICAL",16
"KEY, HEX/TORX",17
PIPE,18
"SCREW, CAP, METRIC SOCKET HEAD",19
PIN,20
"FIXTURE, LAMP",21
"GAS, CALIBRATION",22
"LABEL, SAFETY",23
"METER, POWER",24
"LAMP, CFL",25
"MASTERS, GAUGE BLOCKS",26
REGULATOR,27
"REEL, HOSE SPRING RETURN",28
"INSERT, MILLING",29
"SEAL, SHAFT",30
"PIN, CLEVIS",31
MISCELLANEOUS HOSE,32
GEARMOTOR,33
"PLUG, HYDRAULIC HOSE",34
"KEY, STOCK",35
"MOTOR, GENERAL PURPOSE AC",36
"GLASS, SIGHT",37
"SHELVES, WIRE",38
"FITTING, TUBE, PUSH TO CONNECT",39
"SENSOR, INFRARED",40
GASKET,41
"LAMP, FLUORESCENT LINEAR",42
RING,43
"GLOVE, WELDING",44
POWER SUPPLY,45
"REAMER, CHUCKING",46
SENSOR,47
GEAR,48
"GLOVE, CUT RESISTANT",49
"INSERT, THREADING",50
"HOSE, BULK, HYDRAULIC",51
"GASKET, SPIRAL WOUND",52
KIT,53
FUSE,54
"RECEPTACLE, STRAIGHT BLADE",55
PLUNGER,56
"SLEEVE, WEAR",57
PAINT,58
"SIGN, FIRE",59
"RACK, BULK STORAGE",60
"PARTS, PUMP REPLACEMENT",61
HINGE,62
"HUB, COUPLING",63
"MANUAL, TRAINING",64
"NUT, HEX",65
RELAY,66
"LADDER, ROLLING",67
"PLATE, BLANK",68
NOZZLE,69
"PUMP, CENTRIFUGAL",70
"RETRACTOR, WALL MOUNTED",71
"PIN, TAPER",72
"PIN, SPRING",73
"PARTS, OUTDOOR EQUIPMENT",74
"RELAY, TIME DELAY",75
"GAUGE, PRESSURE/VACUUM",76
"HOSE, FLEXIBLE METAL",77
"INSERT, TURNING",78
"SHOES, STEEL TOE",79
"FIXTURE, TROFFER, RECESSED",80
"GASKET, SANITARY",81
"GLOVE, KNIT",82
MICROMETER,83
"SHEET, PLASTIC",84
"PULLEY, V-BELT",85
LAMP,86
MAILBOX,87
"SIGN, NOTICE",88
"LANYARD, SHOCK ABSORBING",89
SCREWDRIVER,90
"GLOVES, SAFETY",91
"SCREW, MACHINE",92
IMPELLER,93
"MARKER, WIRE",94
"SLING, WEB",95
"FOLDER, FILE",96
"PEN, WRITING",97
"SCREW, SELF TAPPING",98
"ROD, THREADED",99
FLOWMETER,100
LOCKNUT,101
HEATER,102
"OVERALL, BIB",103
PACKING,104
"PIN, DOWEL",105
SCREW,106
"SCREW, SHOULDER",107
SHIM,108
"SHAFT, PUMP",109
"SAW, HOLE",110
"KIT, PUMP REPAIR",111
HOLDER,112
"GLOVE, COATED",113
"MEASURING, PRECISION",114
GEARBELT,115
"INSULATION, PIPE",116
"GAUGE, VACUUM",117
"MODULE, INPUT/OUTPUT",118
"SIGN, CAUTION",119
"GLASSES, SAFETY",120
"PLATE, WALL, ELECTRICAL",121
O-RING,122
"GLOVE, LEATHER PALM",123
"ROD END, SPHERICAL",124
"INSERT, DRILLING",125
"SCREW, CAP, SOCKET HEAD",126
"HAT, HARD",127
"SCREW, CAP, HEX HEAD",128
"SCREW, SHEET METAL",129
"LOCKER, STORAGE",130
NUT,131
SHELVING,132
"MAT, ENTRANCE",133
"MODULE, PROGRAMMABLE",134
"PARTS, HAND TOOL REPLACEMENT",135
"PARTS, MATERIAL HANDLING EQUIPMENT",136
"PULLEY, GEARBELT",137
"INSERT, THREAD REPAIR",138
"LOCKSET, DOOR LEVER",139
"PIPE, BLACK",140
SHIRT,141
"SHOES, PLAIN TOE",142
"REAGENT, ANALYTICAL",143
"ROLL, ABRASIVE CARTRIDGE",144
"FITTING, RACEWAY",145
"PIN, COTTER",146
PULLEY,147
"MOTOR, HYDRAULIC",148
"SCREW, SET",149
"SIGN, WARNING",150
"JAR, LAB",151
"SIGN, ENTRANCE",152
"MATTING, ANTI-FATIGUE",153
"FITTING, HYDRAULIC HOSE",154
"SIGN, DANGER",155
"PADLOCK, LOCKOUT",156
SHAFT,157
"SHELVING, BOLTLESS",158
HANDLE,159
"SET, STENCIL",160
SHEAVE,161
"PADLOCK, KEYED",162
"GLOVE, ELECTRICAL",163
"GLOVE, MECHANICS",164
"RING, RETAINING",165
"SIGN, OFFICE",166
"ROD STOCK, PLASTIC",167
"LIGHT, PILOT",168
"SIGN, EXIT",169
"SIGN, SECURITY",170
GUIDE,171
HOOK,172
MODULE,173
"ROPE, WIRE, SWAGELESS",174
SEAL,175
"FLASK, LABORATORY",176
"SHEET AND STRIP, RUBBER",177
"HARDWARE, CYLINDER MOUNTING",178
"ROLL, RUBBER",179
"SCREW, SOCKET SET",180
OIL,181
"HEATER, ELECTRIC",182
"RIVET, BLIND",183
"SLEEVE, SHAFT",184
"FITTING, PVC PIPE",185
"FITTING, STAINLESS STEEL PIPE",186
"GRATING, CARBON STEEL",187
"LINK, CHAIN",188
"ROLLER, CONVEYOR",189
FLANGE,190
"REGULATOR, PRESSURE",191
